name,price,link,image_url,vendor,handle,product_id
Sinaasappel,"€0,50",https://upfront.nl/products/sinaasappel,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Orange_CP_Still_v1.jpg?v=1771408074&width=750,Upfront Food Store,sinaasappel,15576999559551
Tomaat,"€0,50",https://upfront.nl/products/tomaat,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Tomato_CP_Still_v1.jpg?v=1771408000&width=750,Upfront Food Store,tomaat,15576999494015
Knoflook,"€0,60",https://upfront.nl/products/knoflook,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Garlic_CP_Still_v1_1.jpg?v=1771408131&width=750,Upfront Food Store,knoflook,15576998576511
Passievrucht,"€0,60",https://upfront.nl/products/passievrucht,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Passievrucht_CP_Still_v1.jpg?v=1770978076&width=750,Upfront Food Store,passievrucht,15576997036415
Peer,"€0,60",https://upfront.nl/products/peer,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Pear_CP_Still_v1.jpg?v=1771408074&width=750,Upfront Food Store,peer,15576999690623
Marmande Tomaat,"€0,70",https://upfront.nl/products/marmande-tomaat,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/SWebsite_Tomato_Marmande_CP_Still_v1.jpg?v=1772809136&width=750,Upfront Food Store,marmande-tomaat,15576996446591
Romaine sla,"€0,70",https://upfront.nl/products/botersla,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Botersla_CP_Still_v1.jpg?v=1770985273&width=750,Upfront Food Store,botersla,15576999035263
Grapefruit,"€0,90",https://upfront.nl/products/grapefruit,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/SWebsite_Grapefruit_CP_Still_v1.jpg?v=1772793778&width=750,Upfront Food Store,grapefruit,15587239887231
Bloem,€1,https://upfront.nl/products/bloem,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Bloem_CP_Still_v1.jpg?v=1771411703&width=750,Upfront Food Store,bloem,15577003229567
Chocolade,€1,https://upfront.nl/products/chocolade,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Chocolade_Koffie_CP_Still_v1.jpg?v=1770977382&width=750,Upfront Food Store,chocolade,15577001886079
Courgette,€1,https://upfront.nl/products/courgette,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Zucchini_CP_Still_v1.jpg?v=1771408000&width=750,Upfront Food Store,courgette,15577000083839
Koffie,€1,https://upfront.nl/products/koffie,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_TOGO_Koffie_CP_Still_v1.jpg?v=1771504786&width=750,Upfront Food Store,koffie,15576998117759
Rijstwafels,€1,https://upfront.nl/products/rijstwafels,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Rijstwafels_CP_Still_v1.jpg?v=1771405236&width=750,Upfront Food Store,rijstwafels,15577005556095
Suiker,€1,https://upfront.nl/products/suiker,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Suiker_CP_Still_v1.jpg?v=1771411703&width=750,Upfront Food Store,suiker,15577006276991
Thee,€1,https://upfront.nl/products/thee-1,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/SWebsite_TOGO_Thee_CP_Still_v1_1.jpg?v=1772634564&width=750,Upfront Food Store,thee-1,15585291436415
Radijs,"€1,25",https://upfront.nl/products/radijs,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Radijs_CP_Still_v2.jpg?v=1772204838&width=750,Upfront Food Store,radijs,15576996348287
Avocado,"€1,30",https://upfront.nl/products/avocado,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Avocado_CP_Still_v1.jpg?v=1771408125&width=750,Upfront Food Store,avocado,15577000280447
Aubergine,"€1,50",https://upfront.nl/products/aubergine,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Eggplant_CP_Still_v1.jpg?v=1771408095&width=750,Upfront Food Store,aubergine,15577000345983
Bagel,"€1,50",https://upfront.nl/products/bagel,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Bagel_CP_Still_v2.jpg?v=1772204857&width=750,Upfront Food Store,bagel,15577000673663
Bleekselderij,"€1,50",https://upfront.nl/products/bleekselderij,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Celery_CP_Still_v1.jpg?v=1771408110&width=750,Upfront Food Store,bleekselderij,15576998838655
Bosui,"€1,50",https://upfront.nl/products/bosui,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Bosui_CP_Still_v1.jpg?v=1772195812&width=750,Upfront Food Store,bosui,15576996249983
Broccoli,"€1,50",https://upfront.nl/products/broccoli,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Broccoli_CP_Still_v1.jpg?v=1771408110&width=750,Upfront Food Store,broccoli,15576998379903
Karnemelk,"€1,50",https://upfront.nl/products/karnemelk,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Karnemelk_CP_Still_v1.jpg?v=1770994498&width=750,Upfront Food Store,karnemelk,15577004441983
Kidneybonen,"€1,50",https://upfront.nl/products/kidneybonen,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Kidneybonnen_CP_Still_v1_3ee7547a-ab45-4885-9c7b-bc5d565feca0.jpg?v=1770976405&width=750,Upfront Food Store,kidneybonen,15577007751551
Kikkererwten,"€1,50",https://upfront.nl/products/kikkererwten,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Kikkererwten_CP_Still_v1.jpg?v=1770976426&width=750,Upfront Food Store,kikkererwten,15577007587711
Komkommer,"€1,50",https://upfront.nl/products/komkommer,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Cucumber_CP_Still_v1.jpg?v=1770978414&width=750,Upfront Food Store,komkommer,15576999297407
Linzen,"€1,50",https://upfront.nl/products/linzen,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Linzen_CP_Still_v1.jpg?v=1770976459&width=750,Upfront Food Store,linzen,15577007686015
Mais,"€1,50",https://upfront.nl/products/mais,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Mais_CP_Still_v1.jpg?v=1770976405&width=750,Upfront Food Store,mais,15577007522175
Melk,"€1,50",https://upfront.nl/products/melk,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Melk_CP_Still_v1_1.jpg?v=1771410278&width=750,Upfront Food Store,melk,15577001460095
Popcorn,"€1,50",https://upfront.nl/products/popcorn,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Popcorn_CP_Still_v1.jpg?v=1770993883&width=750,Upfront Food Store,popcorn,15577004638591
Snijbiet,"€1,50",https://upfront.nl/products/snijbiet,https://upfront.nl/cdn/shop/files/SWebsite_Snijbiet_PP_LoadingFrame_v2.png?v=1772527968&width=1000&width=750,Upfront Food Store,snijbiet,15576996643199
Champignons,"€1,80",https://upfront.nl/products/champignons,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Champignons_CP_Still_v1.jpg?v=1771408102&width=750,Upfront Food Store,champignons,15576998969727
Rode Kool,"€1,80",https://upfront.nl/products/rode-kool,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_RodeKool_CP_Still_v1.jpg?v=1770986360&width=750,Upfront Food Store,rode-kool,15576996905343
Aardappelchips,€2,https://upfront.nl/products/aardappelchips,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Chips_CP_Still_v1.jpg?v=1770978645&width=750,Upfront Food Store,aardappelchips,15577001951615
Bloemkool,€2,https://upfront.nl/products/bloemkool,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Cauliflower_CP_Still_v1.jpg?v=1771408110&width=750,Upfront Food Store,bloemkool,15576999100799
Cherry tomaten,€2,https://upfront.nl/products/cherry-tomaten,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_TomatoBox_CP_Still_v1.jpg?v=1771511289&width=750,Upfront Food Store,cherry-tomaten,15576998445439
Cornflakes,€2,https://upfront.nl/products/cornflakes,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Cornflakes_CP_Still_v1.jpg?v=1771404697&width=750,Upfront Food Store,cornflakes,15577005621631
Dikke Yoghurt,€2,https://upfront.nl/products/dikke-yoghurt,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_DikkeYoghurt_CP_Still_v1.jpg?v=1771409636&width=750,Upfront Food Store,dikke-yoghurt,15576997265791
Eieren,€2,https://upfront.nl/products/eieren,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Eieren_CP_Still_v1_1.jpg?v=1771511288&width=750,Upfront Food Store,eieren,15577007423871
Eiersalade,€2,https://upfront.nl/products/eiersalade,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Eiersalade_CP_Still_v1.jpg?v=1770993755&width=750,Upfront Food Store,eiersalade,15577004376447
Feta,€2,https://upfront.nl/products/feta,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/CollectionPage-WebsiteRender_Feta_Still_v1.jpg?v=1770142575&width=750,Upfront Food Store,feta,15577004048767
Havermout,€2,https://upfront.nl/products/havermout,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Havermout_CP_Still_v1.jpg?v=1771403389&width=750,Upfront Food Store,havermout,15577005490559
Hummus,€2,https://upfront.nl/products/hummus,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Hummus_CP_Still_v1.jpg?v=1770993739&width=750,Upfront Food Store,hummus,15577004310911
Kwark,€2,https://upfront.nl/products/kwark,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Kwark_CP_Still_v1.jpg?v=1771404800&width=750,Upfront Food Store,kwark,15577004114303
Mosterd,€2,https://upfront.nl/products/mosterd,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Mosterd_CP_Still_v1.jpg?v=1771411748&width=750,Upfront Food Store,mosterd,15577005097343
Mozarella,€2,https://upfront.nl/products/mozarella,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Mozzarella_CP_Still_v1.jpg?v=1770989083&width=750,Upfront Food Store,mozarella,15577004573055
Pinda,€2,https://upfront.nl/products/pinda,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Noten_Pinda_CP_Still_v1_f0b4c73b-1d6c-438d-a588-4beec2f0434c.jpg?v=1771411792&width=750,Upfront Food Store,pinda,15577005818239
Pita,€2,https://upfront.nl/products/pita,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/SWebsite_Pita_CP_Still_v2_78cd2445-e07c-47ef-a954-2fffe11910fa.jpg?v=1772644787&width=750,Upfront Food Store,pita,15577006473599
Rijst,€2,https://upfront.nl/products/rijst,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Rijst_CP_Still_v1.jpg?v=1771403596&width=750,Upfront Food Store,rijst,15577006211455
Tas,€2,https://upfront.nl/products/tas,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_ToteBag_CP_Still_v1.jpg?v=1771403015&width=750,Upfront Food Store,tas,15577000608127
Wortel,€2,https://upfront.nl/products/wortel,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Carrot_CP_Still_v1.jpg?v=1771409403&width=750,Upfront Food Store,wortel,15576999428479
Yoghurt,€2,https://upfront.nl/products/yoghurt,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Yoghurt_CP_Still_v1_1.jpg?v=1771410210&width=750,Upfront Food Store,yoghurt,15577001329023
Gefermenteerde Zuurkool,"€2,30",https://upfront.nl/products/gefermenteerde-zuurkool,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Zuurkool_CP_Still_v1.jpg?v=1771411732&width=750,Upfront Food Store,gefermenteerde-zuurkool,15577001197951
Kokosmelk,"€2,30",https://upfront.nl/products/kokosmelk,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Kokosmelk_CP_Still_v1.jpg?v=1770976459&width=750,Upfront Food Store,kokosmelk,15577005162879
Aardappel,"€2,50",https://upfront.nl/products/aardappel,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Potato_CP_Still_v1.jpg?v=1771408066&width=750,Upfront Food Store,aardappel,15576998642047
Beef Jerky,"€2,50",https://upfront.nl/products/beef-jerky,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Jerky_Beef_CP_Still_v1.jpg?v=1771403951&width=750,Upfront Food Store,beef-jerky,15577001853311
Ceylon kaneel,"€2,50",https://upfront.nl/products/ceylon-kaneel,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_CeylonKaneel_CP_Still_v1.jpg?v=1771409641&width=750,Upfront Food Store,ceylon-kaneel,15577002213759
Chili vlokken,"€2,50",https://upfront.nl/products/chili-vlokken,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_ChiliVlokken_CP_Still_v1.jpg?v=1771409636&width=750,Upfront Food Store,chili-vlokken,15577002279295
Flespompoen,"€2,50",https://upfront.nl/products/flespompoen,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Pumpkin_CP_Still_v1.jpg?v=1771408044&width=750,Upfront Food Store,flespompoen,15577000018303
Gefermenteerde Wortel,"€2,50",https://upfront.nl/products/gefermenteerde-wortel,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/CollectionPage-WebsiteRender_GefermenteerdeWortel_Still_v1.jpg?v=1770139658&width=750,Upfront Food Store,gefermenteerde-wortel,15577001001343
Geitenkaas,"€2,50",https://upfront.nl/products/geitenkaas,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_FriescheFeitenkaas_CP_Still_v1.jpg?v=1771407381&width=750,Upfront Food Store,geitenkaas,15577004507519
Kerriepoeder,"€2,50",https://upfront.nl/products/kerriepoeder,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Kerrie_CP_Still_v1.jpg?v=1771511267&width=750,Upfront Food Store,kerriepoeder,15577004900735
Knoflookpoeder,"€2,50",https://upfront.nl/products/knoflookpoeder,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Knoflook_CP_Still_v1.jpg?v=1770989952&width=750,Upfront Food Store,knoflookpoeder,15577004966271
Lasagnebladen,"€2,50",https://upfront.nl/products/lasagna,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Lasagnebladen_CP_Still_v1_1.jpg?v=1771410359&width=750,Upfront Food Store,lasagna,15577006539135
Olijven,"€2,50",https://upfront.nl/products/olijven,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_KalamonOlijven_CP_Still_v1_1.jpg?v=1771410458&width=750,Upfront Food Store,olijven,15577001132415
Oregano,"€2,50",https://upfront.nl/products/oregano,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Oregano_CP_Still_v1.jpg?v=1771411826&width=750,Upfront Food Store,oregano,15577005293951
Orzo,"€2,50",https://upfront.nl/products/orzo,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Orzo_CP_Still_v1_1.jpg?v=1771412849&width=750,Upfront Food Store,orzo,15577006604671
Paprikapoeder,"€2,50",https://upfront.nl/products/paprikapoeder,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Paprikapoeder_CP_Still_v1.jpg?v=1771411821&width=750,Upfront Food Store,paprikapoeder,15577004835199
Tomaten Passata,"€2,50",https://upfront.nl/products/tomaten-passata,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/Website_Passata_CP_Still_v1.jpg?v=1770194051&width=750,Upfront Food Store,tomaten-passata,15577003852159
Turkey Jerky,"€2,50",https://upfront.nl/products/turkey-jerky,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Jerky_Turkey_CP_Still_v1.jpg?v=1771403951&width=750,Upfront Food Store,turkey-jerky,15577001787775
Zuurdesembrood,"€2,50",https://upfront.nl/products/zuurdesembrood,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Zuurdesembrood_CP_Still_v1.jpg?v=1771403113&width=750,Upfront Food Store,zuurdesembrood,15577000804735
Pasta,"€2,50",https://upfront.nl/products/pasta-1,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/SWebsite_Pasta_CP_Still_v1_1.jpg?v=1772804868&width=750,Upfront Food Store,pasta-1,15587278815615
Blauwe Bessen,"€2,50",https://upfront.nl/products/blauwe-bessen,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/SWebsite_BlauweBessen_CP_Still_v1_1.jpg?v=1772806773&width=750,Upfront Food Store,blauwe-bessen,15587354575231
Smaakzouten,"€2,70",https://upfront.nl/products/keltisch-zeezout-kopie,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_ZeezoutCitroen_CP_Still_v1.jpg?v=1771411725&width=750,Upfront Food Store,keltisch-zeezout-kopie,15576996708735
Zwarte peper,"€2,70",https://upfront.nl/products/zwarte-peper,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_ZwartePeper_CP_Still_v1.jpg?v=1771411658&width=750,Upfront Food Store,zwarte-peper,15577002344831
Kefir,"€2,75",https://upfront.nl/products/kefir,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Kefir_CP_Still_v1.jpg?v=1771407043&width=750,Upfront Food Store,kefir,15577004179839
Appel Sap,€3,https://upfront.nl/products/sap,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Sap_Appel_CP_Still_v1_1.jpg?v=1771511204&width=750,Upfront Food Store,sap,15577003295103
Couscous,€3,https://upfront.nl/products/couscous,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Couscous_CP_Still_v1.jpg?v=1771403397&width=750,Upfront Food Store,couscous,15577006408063
Kokossnippers,€3,https://upfront.nl/products/kokossnippers,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Kokossnippers_CP_Still_v1.jpg?v=1771411658&width=750,Upfront Food Store,kokossnippers,15577005949311
Risotto,€3,https://upfront.nl/products/risotto,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Risotto_CP_Still_v1.jpg?v=1771403389&width=750,Upfront Food Store,risotto,15577006342527
Sambal,€3,https://upfront.nl/products/sambal,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Sambal_CP_Still_v1.jpg?v=1771409744&width=750,Upfront Food Store,sambal,15577004769663
Sriracha,€3,https://upfront.nl/products/sriracha,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Sriracha_CP_Still_v1.jpg?v=1771409490&width=750,Upfront Food Store,sriracha,15577004704127
Wraps,€3,https://upfront.nl/products/wraps,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Wraps_CP_Still_v1.jpg?v=1771404263&width=750,Upfront Food Store,wraps,15577000477055
Zoete Aardappel,€3,https://upfront.nl/products/zoete-aardappel,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_SweetPotato_CP_Still_v1.jpg?v=1771408008&width=750,Upfront Food Store,zoete-aardappel,15576998510975
Jam,€3,https://upfront.nl/products/jam-1,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/SWebsite_Aardbeienjam_CP_Still_v1.jpg?v=1772803079&width=750,Upfront Food Store,jam-1,15587258925439
Keltisch Zeezout,"€2,70",https://upfront.nl/products/zeezout,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_ZeezoutGrof_CP_Still_v1.jpg?v=1771404078&width=750,Upfront Food Store,zeezout,15577002410367
Hagel,"€3,50",https://upfront.nl/products/hagel,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/Website_Hagel_CP_Still_v10.jpg?v=1765548209&width=750,Upfront,hagel,15175115211135
Chili Olie,"€3,50",https://upfront.nl/products/chili-olie,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_ChiliOlie_CP_Still_v1.jpg?v=1771409636&width=750,Upfront Food Store,chili-olie,15577002082687
Curry pasta,"€3,50",https://upfront.nl/products/curry-pasta,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_GroeneCurrypasta_CP_Still_v1.jpg?v=1770979834&width=750,Upfront Food Store,curry-pasta,15577002017151
Gefermenteerde Kimchi,"€3,50",https://upfront.nl/products/gefermenteerde-kimchi,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Kimchi_CP_Still_v1_0cda6016-e535-4530-9e69-68ff427c524a.jpg?v=1771511373&width=750,Upfront Food Store,gefermenteerde-kimchi,15577001263487
Groene Thee,"€3,50",https://upfront.nl/products/groene-thee,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_TheeBoxes_GemberMuntRozemarijn_CP_Still_v1.jpg?v=1771407126&width=750,Upfront Food Store,groene-thee,15577002738047
Pizzabodems,"€3,50",https://upfront.nl/products/pizzabodems,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Pizzabodems_CP_Still_v1.jpg?v=1771410555&width=750,Upfront Food Store,pizzabodems,15577003786623
Roomboter,"€3,50",https://upfront.nl/products/roomboter,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Roomboter_CP_Still_v1.jpg?v=1771404887&width=750,Upfront Food Store,roomboter,15577001394559
Witte Wijn Azijn,"€3,50",https://upfront.nl/products/witte-wijn-azijn,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_WitteWijnazijn_CP_Still_v1.jpg?v=1771411710&width=750,Upfront Food Store,witte-wijn-azijn,15577002443135
Kruidenthee,"€3,50",https://upfront.nl/products/kruidenthee,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_TheeBoxes_GemberKurkuma_CP_Still_v1.jpg?v=1771407126&width=750,Upfront Food Store,kruidenthee,15577002672511
Appel Azijn,€4,https://upfront.nl/products/appel-azijn,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Appelazijn_CP_Still_v1.jpg?v=1770976597&width=750,Upfront Food Store,appel-azijn,15577002574207
Boerenkool,€4,https://upfront.nl/products/boerenkool,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Boerenkool_CP_Still_v1.jpg?v=1771408118&width=750,Upfront Food Store,boerenkool,15576997790079
Hazelnoot,€4,https://upfront.nl/products/hazelnoot,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Noten_Hazelnoten_CP_Still_v1_1.jpg?v=1771511125&width=750,Upfront Food Store,hazelnoot,15577006014847
Orgaan Gehakt,€4,https://upfront.nl/products/orgaan-gehakt,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Orgaangehakt_CP_Still_v1.jpg?v=1771405454&width=750,Upfront Food Store,orgaan-gehakt,15577003065727
Roomijs,€4,https://upfront.nl/products/roomijs,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Roomijs_Chocolade_CP_Still_v1_0000.jpg?v=1771511310&width=750,Upfront Food Store,roomijs,15577003164031
Ketchup,€4,https://upfront.nl/products/ketchup-2,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/SWebsite_Ketchup_CP_Still_v1_1.jpg?v=1772802032&width=750,Upfront Food Store,ketchup-2,15587249652095
Amandel,"€4,50",https://upfront.nl/products/amandel,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Noten_Amandelen_CP_Still_v1_128f2e84-95e6-48fb-8b1a-7c4b8888bd99.jpg?v=1771411822&width=750,Upfront Food Store,amandel,15577006145919
Augurken,"€4,50",https://upfront.nl/products/augurken,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Augurken_CP_Still_v1.jpg?v=1771411682&width=750,Upfront Food Store,augurken,15577001066879
Blauwe bessen (diepvries),"€4,50",https://upfront.nl/products/blauwe-bessen-diepvries,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Diepvries_BlauweBessen_CP_Still_v1.jpg?v=1770979749&width=750,Upfront Food Store,blauwe-bessen-diepvries,15577003721087
Bottenbouillon,"€4,50",https://upfront.nl/products/bottenbouillon,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/SWebsite_Bottenbouillon_CP_Still_v2.jpg?v=1772793777&width=750,Upfront Food Store,bottenbouillon,15577005359487
Cashew,"€4,50",https://upfront.nl/products/cashew,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Noten_Cashewnoten_CP_Still_v1_bf0eb94a-d930-4db3-816e-227539891a19.jpg?v=1771411821&width=750,Upfront Food Store,cashew,15577006080383
Frambozen (diepvries),"€4,50",https://upfront.nl/products/frambozen-diepvries,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Diepvries_Frambozen_CP_Still_v1.jpg?v=1770979749&width=750,Upfront Food Store,frambozen-diepvries,15577003655551
Gefermenteerde Groentemix,"€4,50",https://upfront.nl/products/gefermenteerde-groentemix,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_GedermenteerdeGroenten_CP_Still_v1.jpg?v=1770979695&width=750,Upfront Food Store,gefermenteerde-groentemix,15577000935807
